3,1490,"(45.412458793075466, 12.160697280505548, 0.0)"
6,462,"(45.53207333846538, 12.167747944956046, 0.0)"
9,467,"(45.5314817957775, 12.16806541902412, 0.0)"
11,458,"(45.532522593500566, 12.1683577289152, 0.0)"
12,456,"(45.53275208122053, 12.16848753592198, 0.0)"
12,457,"(45.53263571693837, 12.168480995046396, 0.0)"
16,1489,"(45.41253320766985, 12.16221800106841, 0.0)"
26,450,"(45.533404881013574, 12.170160960943974, 0.0)"
90,1495,"(45.41159581747449, 12.17079825158354, 0.0)"
413,1459,"(45.414733240808886, 12.208656306463714, 0.0)"
418,1475,"(45.412855068714585, 12.209133136725104, 0.0)"
418,1477,"(45.41262234445878, 12.209119942623994, 0.0)"
419,1476,"(45.41273543075742, 12.209243013315481, 0.0)"
420,1476,"(45.412732154808026, 12.209359486956535, 0.0)"
421,1470,"(45.41342705121316, 12.209515547898205, 0.0)"
421,1476,"(45.41272887874004, 12.209475960577555, 0.0)"
422,1473,"(45.41307468876446, 12.209612228372798, 0.0)"
424,1480,"(45.41225360160516, 12.20979898771826, 0.0)"
425,1470,"(45.41341394543809, 12.209981447904463, 0.0)"
425,1480,"(45.41225032511572, 12.209915460305423, 0.0)"
425,1481,"(45.41213396306625, 12.209908861767229, 0.0)"
426,1466,"(45.41387611668621, 12.210124319978082, 0.0)"
426,1470,"(45.413410668697836, 12.210097922855937, 0.0)"
426,1482,"(45.41201432443207, 12.210018735359622, 0.0)"
426,1495,"(45.410501617635354, 12.209932955455788, 0.0)"
426,1497,"(45.41026889346581, 12.209919759152127, 0.0)"
427,1470,"(45.413407391839, 12.210214397787373, 0.0)"
427,1482,"(45.41201104773191, 12.210135207429861, 0.0)"
427,1483,"(45.41189468570262, 12.21012860849544, 0.0)"
427,1485,"(45.41166196163468, 12.210115410747532, 0.0)"
427,1497,"(45.410265616963954, 12.210036227646164, 0.0)"
428,1481,"(45.412124132926074, 12.210258278693225, 0.0)"
428,1483,"(45.41189140889709, 12.210245080307221, 0.0)"
428,1484,"(45.41177504687792, 12.210238481174688, 0.0)"
429,1477,"(45.41258630394301, 12.21040114917131, 0.0)"
429,1480,"(45.41223721797208, 12.210381350453714, 0.0)"
429,1484,"(45.41177176996702, 12.210354952728009, 0.0)"
430,1477,"(45.412583026820975, 12.210517622373576, 0.0)"
430,1484,"(45.41176849293754, 12.210471424261293, 0.0)"
431,1465,"(45.41397609286486, 12.210713299777328, 0.0)"
431,1478,"(45.41246338761962, 12.210627495466094, 0.0)"
431,1492,"(45.41083431984058, 12.210535098443568, 0.0)"
432,1452,"(45.41548551989104, 12.210915590026612, 0.0)"
432,1488,"(45.411296490626334, 12.210677967326058, 0.0)"
433,1465,"(45.41396953771047, 12.21094625180421, 0.0)"
433,1477,"(45.41257319474336, 12.210867041860137, 0.0)"
433,1488,"(45.41129321329401, 12.210794437845554, 0.0)"
433,1489,"(45.411176851325294, 12.210787837722515, 0.0)"
433,1494,"(45.410595041434654, 12.210754837712088, 0.0)"
434,1477,"(45.41256991714699, 12.210983514982242, 0.0)"
434,1478,"(45.41245355522593, 12.210976914177243, 0.0)"
434,1479,"(45.41233719330173, 12.210970313412568, 0.0)"
435,1479,"(45.412333915613225, 12.211086786037773, 0.0)"
436,1479,"(45.41233063780613, 12.211203258642936, 0.0)"
436,1490,"(45.41105065672432, 12.211130647647561, 0.0)"
437,1481,"(45.41209463610203, 12.21130652838912, 0.0)"
437,1489,"(45.41116374086308, 12.211253718646438, 0.0)"
439,1463,"(45.414182593026446, 12.211658312487083, 0.0)"
439,1481,"(45.41208807994784, 12.211539472545523, 0.0)"
439,1489,"(45.41115718492052, 12.21148665898815, 0.0)"
440,1463,"(45.41417931453336, 12.211774788827082, 0.0)"
440,1483,"(45.41185207798128, 12.211642740485496, 0.0)"
440,1484,"(45.4117357161208, 12.21163613849191, 0.0)"
441,1464,"(45.41405967413708, 12.211884662108323, 0.0)"
441,1474,"(45.412896056118605, 12.211818633939775, 0.0)"
442,1464,"(45.41405639542005, 12.212001138169777, 0.0)"
442,1465,"(45.413940033645524, 12.211994534932957, 0.0)"
442,1474,"(45.41289277753386, 12.211935107616817, 0.0)"
443,1465,"(45.413936754823126, 12.212111010735912, 0.0)"
443,1474,"(45.412889498830545, 12.212051581273812, 0.0)"
444,1465,"(45.41393347588215, 12.212227486518819, 0.0)"
444,1467,"(45.413700752376634, 12.212214279212416, 0.0)"
444,1482,"(45.411955325685845, 12.21211522955779, 0.0)"
445,1465,"(45.41393019682258, 12.212343962281672, 0.0)"
446,1465,"(45.41392691764442, 12.212460438024474, 0.0)"
446,1466,"(45.41381055591969, 12.21245383387421, 0.0)"
447,1475,"(45.4127600210917, 12.212510871675688, 0.0)"
451,1473,"(45.41297962661851, 12.212989974827618, 0.0)"
461,1466,"(45.41376135421507, 12.21420096403286, 0.0)"
462,1465,"(45.41387443466569, 12.21432404718166, 0.0)"
463,1465,"(45.41387115347151, 12.214440522583471, 0.0)"
463,1469,"(45.413405707453805, 12.214414090010438, 0.0)"
464,1465,"(45.413867872158754, 12.214556997965218, 0.0)"
465,1465,"(45.41386459072739, 12.214673473326895, 0.0)"
466,1470,"(45.41327950184608, 12.214756904476545, 0.0)"
467,1473,"(45.41292713584704, 12.214853551859887, 0.0)"
468,1455,"(45.4150183598847, 12.215088995472563, 0.0)"
468,1473,"(45.41292385416585, 12.214970025253868, 0.0)"
469,1456,"(45.414898716457614, 12.21519886310021, 0.0)"
469,1465,"(45.41385146381607, 12.215139374572946, 0.0)"
469,1466,"(45.41373510239579, 12.21513276493848, 0.0)"
469,1473,"(45.412920572366076, 12.215086498627784, 0.0)"
470,1456,"(45.41489543431413, 12.21531534050759, 0.0)"
470,1457,"(45.414779072935296, 12.215308730271255, 0.0)"
470,1464,"(45.41396454319569, 12.215262459747574, 0.0)"
470,1465,"(45.41384818179178, 12.215255849834286, 0.0)"
470,1469,"(45.41338273614482, 12.215229410584929, 0.0)"
470,1470,"(45.41326637472525, 12.215222800873537, 0.0)"
470,1473,"(45.412917290447716, 12.21520297198163, 0.0)"
471,1455,"(45.41500851341451, 12.215438428410081, 0.0)"
471,1456,"(45.414892152052055, 12.215431817894904, 0.0)"
471,1462,"(45.41419398381149, 12.215392155651898, 0.0)"
471,1464,"(45.41396126103956, 12.215378935227289, 0.0)"
471,1470,"(45.41326309264858, 12.215339274922615, 0.0)"
471,1473,"(45.412914008410766, 12.215319445315409, 0.0)"
472,1463,"(45.41407434013912, 12.215502021117489, 0.0)"
472,1470,"(45.41325981045331, 12.215455748951621, 0.0)"
472,1475,"(45.41267800344085, 12.215422698616015, 0.0)"
473,1473,"(45.41290744398112, 12.215552391922756, 0.0)"
474,1477,"(45.412438716053074, 12.215642423424221, 0.0)"
475,1476,"(45.412551794970064, 12.215765506344885, 0.0)"
475,1478,"(45.41231907221635, 12.215752285143514, 0.0)"
476,1464,"(45.413944848480064, 12.215961312324785, 0.0)"
476,1481,"(45.411966705538354, 12.215848924970361, 0.0)"
477,1467,"(45.41359248166941, 12.21605795305807, 0.0)"
477,1468,"(45.41347612034881, 12.216051341596852, 0.0)"
477,1469,"(45.41335975902509, 12.216044730176025, 0.0)"
478,1494,"(45.4104474423244, 12.215995925967452, 0.0)"
481,1484,"(45.41160120719625, 12.21641144587219, 0.0)"
495,1255,"(45.43820184909908, 12.219557945850319, 0.0)"
502,1260,"(45.43759702970659, 12.22034048974083, 0.0)"
502,1268,"(45.43666614689765, 12.22028748450094, 0.0)"
503,1260,"(45.43759374104977, 12.220457013249687, 0.0)"
503,1261,"(45.4374773807229, 12.220450387214258, 0.0)"
503,1265,"(45.437011939384064, 12.220423883477444, 0.0)"
506,1266,"(45.436885712597835, 12.220766823753133, 0.0)"
522,1254,"(45.43822939440245, 12.222710740372477, 0.0)"
523,1253,"(45.438342463331715, 12.222833896004847, 0.0)"
528,1250,"(45.43867508583438, 12.223436416695138, 0.0)"
580,1233,"(45.44048185808213, 12.22960867756436, 0.0)"
590,1471,"(45.4127553190049, 12.229192904979547, 0.0)"
592,1471,"(45.4127487262997, 12.229425847753655, 0.0)"
611,1097,"(45.4562043247667, 12.23412622341694, 0.0)"
626,1221,"(45.441726317691, 12.235048843415655, 0.0)"
627,1222,"(45.441606655242694, 12.235158716510922, 0.0)"
628,1222,"(45.4416033512442, 12.23527524657088, 0.0)"
628,1508,"(45.40832467928592, 12.233372880792782, 0.0)"
629,1096,"(45.456261196958174, 12.236230967457319, 0.0)"
632,1487,"(45.41075502382401, 12.233978319092603, 0.0)"
632,1488,"(45.410638664499444, 12.23397167148755, 0.0)"
633,1488,"(45.410635363452286, 12.234088137984754, 0.0)"
639,1225,"(45.44121792422239, 12.236537095873087, 0.0)"
640,1225,"(45.44121461883955, 12.236653624974052, 0.0)"
646,1222,"(45.441543858974136, 12.237372784191727, 0.0)"
668,1511,"(45.40784349780638, 12.23801137159032, 0.0)"
711,1514,"(45.40735220032086, 12.24299914945286, 0.0)"
745,1468,"(45.41259205161148, 12.247265756358802, 0.0)"
746,1499,"(45.40898164539337, 12.247175302101708, 0.0)"
750,1478,"(45.411411899823584, 12.247781337805527, 0.0)"
753,1478,"(45.41140195395293, 12.24813073722752, 0.0)"
754,1017,"(45.46503918782246, 12.251329674090291, 0.0)"
761,1513,"(45.407302909446955, 12.248828737106205, 0.0)"
762,1482,"(45.41090667967657, 12.249152218799285, 0.0)"
763,1013,"(45.46547471152338, 12.252405654079707, 0.0)"
763,1482,"(45.410903363135645, 12.249268684096755, 0.0)"
763,1513,"(45.40729627731324, 12.249061652943642, 0.0)"
764,1482,"(45.41090004647616, 12.249385149373946, 0.0)"
764,1513,"(45.407292961068585, 12.249178110831949, 0.0)"
765,1513,"(45.40728964470535, 12.249294568699984, 0.0)"
766,1513,"(45.40728632822358, 12.249411026547744, 0.0)"
767,1514,"(45.4071666540192, 12.24952080565031, 0.0)"
768,1513,"(45.407279694904375, 12.249643942182432, 0.0)"
769,1514,"(45.40716002048966, 12.24975372076779, 0.0)"
780,1487,"(45.41026517710618, 12.251215176015988, 0.0)"
781,1487,"(45.41026185849805, 12.251331639756495, 0.0)"
782,1515,"(45.4070005335828, 12.251260984795069, 0.0)"
789,1488,"(45.41011894813721, 12.252256663920345, 0.0)"
790,1487,"(45.410231985689634, 12.252379812507911, 0.0)"
797,1513,"(45.40718345848822, 12.253021209767821, 0.0)"
800,1486,"(45.4103151394941, 12.253551134662638, 0.0)"
800,1507,"(45.40787164021344, 12.253410701698158, 0.0)"
801,1486,"(45.41031181850136, 12.253667598235557, 0.0)"
801,1506,"(45.4079846766288, 12.253533847379671, 0.0)"
803,1507,"(45.407861677723695, 12.253760077340157, 0.0)"
804,1507,"(45.40785835665668, 12.253876535846885, 0.0)"
805,1508,"(45.40773867839484, 12.253986306306958, 0.0)"
808,1484,"(45.41052128216278, 12.254496221998812, 0.0)"
809,1046,"(45.46148200125422, 12.257546803782892, 0.0)"
809,1486,"(45.410285246291245, 12.254599306087863, 0.0)"
810,1485,"(45.41039828117139, 12.254722459595005, 0.0)"
810,1486,"(45.41028192423146, 12.254715769478011, 0.0)"
810,1492,"(45.40958378252574, 12.254675629634235, 0.0)"
810,1501,"(45.4085365697544, 12.254615422626916, 0.0)"
811,1501,"(45.408533247777115, 12.254731882421506, 0.0)"
811,1511,"(45.407369677865795, 12.254664987245263, 0.0)"
812,1484,"(45.410507993579294, 12.25496207742567, 0.0)"
812,1496,"(45.409111710451725, 12.254881792507975, 0.0)"
812,1506,"(45.407948140832026, 12.254814892905216, 0.0)"
812,1510,"(45.4074827128959, 12.254788134208301, 0.0)"
813,1484,"(45.41050467113701, 12.255078541231603, 0.0)"
813,1497,"(45.408992031235925, 12.25499156307114, 0.0)"
813,1507,"(45.40782846171875, 12.254924661493655, 0.0)"
813,1508,"(45.40771210474971, 12.254917971560666, 0.0)"
814,1497,"(45.40898870884935, 12.255108023758162, 0.0)"
814,1507,"(45.40782513946623, 12.255041119797308, 0.0)"
814,1508,"(45.40770878251058, 12.255034429625992, 0.0)"
815,1495,"(45.40921810015622, 12.255237866184148, 0.0)"
815,1496,"(45.40910174325181, 12.255231175284074, 0.0)"
815,1497,"(45.408985386344234, 12.25522448442487, 0.0)"
815,1506,"(45.407938174034264, 12.255164268531162, 0.0)"
